method,f1,precision,recall,hub_recovery,density_pred,N,T,trial,T_N_ratio,dgp
OLS-TE,0.14728682170542637,0.14285714285714285,0.152,0.2,0.054285714285714284,50,60,0,1.2,factor_only
LASSO-TE,0.029850746268656716,0.2222222222222222,0.016,0.2,0.003673469387755102,50,60,1,1.2,factor_only
OLS-TE,0.1125,0.09230769230769231,0.144,0.2,0.07959183673469387,50,60,1,1.2,factor_only
LASSO-TE,0.028169014084507043,0.11764705882352941,0.016,0.2,0.0069387755102040816,50,60,2,1.2,factor_only
OLS-TE,0.1306532663316583,0.09523809523809523,0.208,0.4,0.11142857142857143,50,60,2,1.2,factor_only
LASSO-TE,0.015267175572519083,0.16666666666666666,0.008,0.2,0.0024489795918367346,50,60,3,1.2,factor_only
OLS-TE,0.16120906801007556,0.11764705882352941,0.256,0.2,0.1110204081632653,50,60,3,1.2,factor_only
LASSO-TE,0.0,0.0,0.0,0.2,0.007755102040816327,50,60,4,1.2,factor_only
OLS-TE,0.12432432432432433,0.09387755102040816,0.184,0.0,0.1,50,60,4,1.2,factor_only
LASSO-TE,0.039735099337748346,0.11538461538461539,0.024,0.4,0.010612244897959184,50,60,0,1.2,garch_factor
OLS-TE,0.15120274914089346,0.13253012048192772,0.176,0.0,0.06775510204081632,50,60,0,1.2,garch_factor
LASSO-TE,0.03208556149732621,0.04838709677419355,0.024,0.0,0.025306122448979593,50,60,1,1.2,garch_factor
OLS-TE,0.15017064846416384,0.13095238095238096,0.176,0.2,0.06857142857142857,50,60,1,1.2,garch_factor
LASSO-TE,0.05714285714285714,0.26666666666666666,0.032,0.0,0.006122448979591836,50,60,2,1.2,garch_factor
OLS-TE,0.11764705882352941,0.10365853658536585,0.136,0.4,0.06693877551020408,50,60,2,1.2,garch_factor
LASSO-TE,0.07441860465116279,0.08888888888888889,0.064,0.2,0.036734693877551024,50,60,3,1.2,garch_factor
OLS-TE,0.1813031161473088,0.14035087719298245,0.256,0.2,0.09306122448979592,50,60,3,1.2,garch_factor
LASSO-TE,0.06666666666666667,0.2,0.04,0.2,0.01020408163265306,50,60,4,1.2,garch_factor
OLS-TE,0.16022099447513813,0.12236286919831224,0.232,0.2,0.09673469387755101,50,60,4,1.2,garch_factor
LASSO-TE,0.07462686567164178,0.5555555555555556,0.04,0.4,0.003673469387755102,50,120,0,2.4,gaussian
OLS-TE,0.18326693227091634,0.18253968253968253,0.184,0.4,0.05142857142857143,50,120,0,2.4,gaussian
LASSO-TE,0.03076923076923077,0.4,0.016,0.2,0.0020408163265306124,50,120,1,2.4,gaussian
OLS-TE,0.20689655172413793,0.19852941176470587,0.216,0.2,0.05551020408163265,50,120,1,2.4,gaussian
LASSO-TE,0.030303030303030304,0.2857142857142857,0.016,0.0,0.002857142857142857,50,120,2,2.4,gaussian
OLS-TE,0.21374045801526717,0.20437956204379562,0.224,0.2,0.05591836734693877,50,120,2,2.4,gaussian
LASSO-TE,0.0,0.0,0.0,0.2,0.0020408163265306124,50,120,3,2.4,gaussian
OLS-TE,0.1728395061728395,0.17796610169491525,0.168,0.0,0.04816326530612245,50,120,3,2.4,gaussian
LASSO-TE,0.030303030303030304,0.2857142857142857,0.016,0.4,0.002857142857142857,50,120,4,2.4,gaussian
OLS-TE,0.2248062015503876,0.21804511278195488,0.232,0.4,0.054285714285714284,50,120,4,2.4,gaussian
LASSO-TE,0.22929936305732485,0.5625,0.144,0.0,0.013061224489795919,50,120,0,2.4,garch_only
OLS-TE,0.20207253886010362,0.14942528735632185,0.312,0.0,0.10653061224489796,50,120,0,2.4,garch_only
LASSO-TE,0.2360248447204969,0.5277777777777778,0.152,0.0,0.014693877551020407,50,120,1,2.4,garch_only
OLS-TE,0.1928721174004193,0.13068181818181818,0.368,0.0,0.1436734693877551,50,120,1,2.4,garch_only
LASSO-TE,0.19607843137254902,0.5357142857142857,0.12,0.2,0.011428571428571429,50,120,2,2.4,garch_only
OLS-TE,0.2537313432835821,0.18411552346570398,0.408,0.2,0.11306122448979591,50,120,2,2.4,garch_only
LASSO-TE,0.14285714285714285,0.6666666666666666,0.08,0.0,0.006122448979591836,50,120,3,2.4,garch_only
OLS-TE,0.2054380664652568,0.1650485436893204,0.272,0.2,0.08408163265306122,50,120,3,2.4,garch_only
LASSO-TE,0.2,0.45714285714285713,0.128,0.2,0.014285714285714285,50,120,4,2.4,garch_only
