method,f1,precision,recall,hub_recovery,density_pred,N,T,trial,T_N_ratio,alpha,dgp
ElasticNet(a=0.5),0.07954545454545454,0.75,0.042,0.0,0.0028282828282828283,100,120,2,1.2,0.5,garch_factor
ElasticNet(a=0.5),0.10131332082551595,0.8181818181818182,0.054,0.2,0.0033333333333333335,100,120,3,1.2,0.5,garch_factor
ElasticNet(a=0.5),0.09073724007561437,0.8275862068965517,0.048,0.2,0.0029292929292929295,100,120,4,1.2,0.5,garch_factor
ElasticNet(a=0.9),0.07293666026871401,0.9047619047619048,0.038,0.2,0.0021212121212121214,100,120,0,1.2,0.9,garch_factor
ElasticNet(a=0.9),0.10467289719626169,0.8,0.056,0.2,0.0035353535353535356,100,120,1,1.2,0.9,garch_factor
ElasticNet(a=0.9),0.04238921001926782,0.5789473684210527,0.022,0.0,0.0019191919191919192,100,120,2,1.2,0.9,garch_factor
ElasticNet(a=0.9),0.0900562851782364,0.7272727272727273,0.048,0.0,0.0033333333333333335,100,120,3,1.2,0.9,garch_factor
ElasticNet(a=0.9),0.0945179584120983,0.8620689655172413,0.05,0.0,0.0029292929292929295,100,120,4,1.2,0.9,garch_factor
LASSO (BIC),0.11481481481481481,0.775,0.062,0.0,0.00404040404040404,100,120,0,1.2,1.0,garch_factor
LASSO (BIC),0.064030131826742,0.5483870967741935,0.034,0.0,0.0031313131313131315,100,120,1,1.2,1.0,garch_factor
LASSO (BIC),0.07224334600760456,0.7307692307692307,0.038,0.0,0.0026262626262626263,100,120,2,1.2,1.0,garch_factor
LASSO (BIC),0.09380863039399624,0.7575757575757576,0.05,0.0,0.0033333333333333335,100,120,3,1.2,1.0,garch_factor
LASSO (BIC),0.0931098696461825,0.6756756756756757,0.05,0.2,0.0037373737373737376,100,120,4,1.2,1.0,garch_factor
ElasticNet(a=0.1),0.2508710801393728,0.972972972972973,0.144,0.0,0.007474747474747475,100,250,0,2.5,0.1,garch_factor
ElasticNet(a=0.1),0.21946902654867256,0.9538461538461539,0.124,0.0,0.0065656565656565654,100,250,1,2.5,0.1,garch_factor
