N,T,T_N,trial,h,signal,t_stat,n_conn,n_isol
50,500,10.0,6,85,LASSO_NIO,1.6985103758145694,42,8
50,500,10.0,6,90,Oracle_NIO,-0.05566109869682288,39,11
50,500,10.0,6,90,LASSO_NIO,-0.3838233217069236,42,8
50,500,10.0,7,0,Oracle_NIO,0.12686849457198146,39,11
50,500,10.0,7,0,LASSO_NIO,-2.50504920413591,45,5
50,500,10.0,7,5,Oracle_NIO,-0.31664034119823464,39,11
50,500,10.0,7,5,LASSO_NIO,-1.4495822983791598,45,5
50,500,10.0,7,10,Oracle_NIO,-0.35702960618070034,39,11
50,500,10.0,7,10,LASSO_NIO,1.5617502297519008,45,5
50,500,10.0,7,15,Oracle_NIO,-0.22867496676777882,39,11
50,500,10.0,7,15,LASSO_NIO,0.17512869906304954,45,5
50,500,10.0,7,20,Oracle_NIO,-1.3491793088241837,39,11
50,500,10.0,7,20,LASSO_NIO,0.5310997320086349,45,5
50,500,10.0,7,25,Oracle_NIO,2.2378535944540703,39,11
50,500,10.0,7,25,LASSO_NIO,0.647517573448129,45,5
50,500,10.0,7,30,Oracle_NIO,-0.7915710815369362,39,11
50,500,10.0,7,30,LASSO_NIO,0.021193846349858148,45,5
50,500,10.0,7,35,Oracle_NIO,-0.17395736267036496,39,11
50,500,10.0,7,35,LASSO_NIO,0.9041893067974682,45,5
50,500,10.0,7,40,Oracle_NIO,-1.305572720900243,39,11
50,500,10.0,7,40,LASSO_NIO,-1.5599772710632742,45,5
50,500,10.0,7,45,Oracle_NIO,0.6664696939914533,39,11
50,500,10.0,7,45,LASSO_NIO,-0.12156895782270993,45,5
50,500,10.0,7,50,Oracle_NIO,0.4125280026403615,39,11
50,500,10.0,7,50,LASSO_NIO,1.1526534216836088,45,5
50,500,10.0,7,55,Oracle_NIO,0.7874241068263358,39,11
50,500,10.0,7,55,LASSO_NIO,1.8837563325107916,45,5
50,500,10.0,7,60,Oracle_NIO,-0.21744615077554252,39,11
50,500,10.0,7,60,LASSO_NIO,0.7632463467346736,45,5
50,500,10.0,7,65,Oracle_NIO,0.2898057634452709,39,11
50,500,10.0,7,65,LASSO_NIO,-0.48857384997596426,45,5
50,500,10.0,7,70,Oracle_NIO,0.23542103268590886,39,11
50,500,10.0,7,70,LASSO_NIO,-0.47580398835138965,45,5
