N,T,T/N,trial,method,precision,recall,f1,hub_recovery,density
20,50,2.5,41,KNN,0.05263157894736842,0.05,0.05128205128205128,0.6,0.05
20,50,2.5,42,OLS,,,,,
20,50,2.5,42,LASSO,0.14285714285714285,0.05,0.07407407407407407,0.2,0.018421052631578946
20,50,2.5,42,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,50,2.5,43,OLS,,,,,
20,50,2.5,43,LASSO,0.1,0.05,0.06666666666666667,0.6,0.02631578947368421
20,50,2.5,43,KNN,0.15789473684210525,0.15,0.15384615384615385,0.4,0.05
20,50,2.5,44,OLS,,,,,
20,50,2.5,44,LASSO,0.23076923076923078,0.15,0.18181818181818182,0.0,0.034210526315789476
20,50,2.5,44,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,45,OLS,,,,,
20,50,2.5,45,LASSO,0.0,0.0,0.0,0.2,0.010526315789473684
20,50,2.5,45,KNN,0.0,0.0,0.0,0.2,0.05
20,50,2.5,46,OLS,,,,,
20,50,2.5,46,LASSO,0.0,0.0,0.0,0.2,0.007894736842105263
20,50,2.5,46,KNN,0.05263157894736842,0.05,0.05128205128205128,0.0,0.05
20,50,2.5,47,OLS,,,,,
20,50,2.5,47,LASSO,0.3333333333333333,0.15,0.20689655172413793,0.2,0.02368421052631579
20,50,2.5,47,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,48,OLS,,,,,
20,50,2.5,48,LASSO,0.0,0.0,0.0,0.2,0.013157894736842105
20,50,2.5,48,KNN,0.0,0.0,0.0,0.2,0.05
20,50,2.5,49,OLS,,,,,
20,50,2.5,49,LASSO,0.0,0.0,0.0,0.4,0.015789473684210527
20,50,2.5,49,KNN,0.0,0.0,0.0,0.2,0.05
20,100,5.0,0,OLS,,,,,
20,100,5.0,0,LASSO,0.42857142857142855,0.15,0.2222222222222222,0.4,0.018421052631578946
20,100,5.0,0,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,100,5.0,1,OLS,,,,,
20,100,5.0,1,LASSO,0.0,0.0,0.0,0.2,0.015789473684210527
20,100,5.0,1,KNN,0.0,0.0,0.0,0.4,0.05
20,100,5.0,2,OLS,,,,,
20,100,5.0,2,LASSO,0.45454545454545453,0.25,0.3225806451612903,0.6,0.02894736842105263
20,100,5.0,2,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,100,5.0,3,OLS,,,,,
