trial,method,true_d1,true_d2,est_d1,est_d2,true_delta,est_delta,correct_direction
95,OLS,0.030612244897959183,0.12244897959183673,0.054285714285714284,0.06938775510204082,0.09183673469387754,0.015102040816326531,1
95,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.005714285714285714,0.09183673469387754,0.0032653061224489797,1
96,OLS,0.030612244897959183,0.12244897959183673,0.0563265306122449,0.0673469387755102,0.09183673469387754,0.011020408163265306,1
96,LASSO,0.030612244897959183,0.12244897959183673,0.00040816326530612246,0.004081632653061225,0.09183673469387754,0.0036734693877551023,1
97,OLS,0.030612244897959183,0.12244897959183673,0.05877551020408163,0.07428571428571429,0.09183673469387754,0.015510204081632659,1
97,LASSO,0.030612244897959183,0.12244897959183673,0.00040816326530612246,0.004489795918367347,0.09183673469387754,0.004081632653061225,1
98,OLS,0.030612244897959183,0.12244897959183673,0.04816326530612245,0.07918367346938776,0.09183673469387754,0.03102040816326531,1
98,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.0032653061224489797,0.09183673469387754,0.0016326530612244899,1
99,OLS,0.030612244897959183,0.12244897959183673,0.05061224489795919,0.07020408163265306,0.09183673469387754,0.01959183673469387,1
99,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.002857142857142857,0.09183673469387754,0.0008163265306122447,1
